"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","laremontada.fr/46.252.181.104","443","INFO","HTTP","",""
"pre_128cipher","laremontada.fr/46.252.181.104","443","INFO","No 128 cipher limit bug","",""
"SSLv2","laremontada.fr/46.252.181.104","443","OK","not offered","",""
"SSLv3","laremontada.fr/46.252.181.104","443","OK","not offered","",""
"TLS1","laremontada.fr/46.252.181.104","443","LOW","offered (deprecated)","",""
"TLS1_1","laremontada.fr/46.252.181.104","443","LOW","offered (deprecated)","",""
"TLS1_2","laremontada.fr/46.252.181.104","443","OK","offered","",""
"TLS1_3","laremontada.fr/46.252.181.104","443","OK","offered with final","",""
"ALPN","laremontada.fr/46.252.181.104","443","INFO","not offered","",""
"cipherlist_NULL","laremontada.fr/46.252.181.104","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","laremontada.fr/46.252.181.104","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","laremontada.fr/46.252.181.104","443","OK","not offered","","CWE-327"
"cipherlist_LOW","laremontada.fr/46.252.181.104","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","laremontada.fr/46.252.181.104","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","laremontada.fr/46.252.181.104","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","laremontada.fr/46.252.181.104","443","OK","offered","",""
"cipherlist_STRONG","laremontada.fr/46.252.181.104","443","OK","offered","",""
"cipherorder_TLSv1","laremontada.fr/46.252.181.104","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_1","laremontada.fr/46.252.181.104","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipherorder_TLSv1_2","laremontada.fr/46.252.181.104","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","laremontada.fr/46.252.181.104","443","OK","server","",""
"protocol_negotiated","laremontada.fr/46.252.181.104","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","laremontada.fr/46.252.181.104","443","OK","TLS_AES_256_GCM_SHA384, 256 bit ECDH (P-256)","",""
"FS","laremontada.fr/46.252.181.104","443","OK","offered","",""
"FS_ciphers","laremontada.fr/46.252.181.104","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","laremontada.fr/46.252.181.104","443","OK","prime256v1","",""
"TLS_extensions","laremontada.fr/46.252.181.104","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'max fragment length/#1' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","laremontada.fr/46.252.181.104","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","laremontada.fr/46.252.181.104","443","INFO","no","",""
"sessionresumption_ticket","laremontada.fr/46.252.181.104","443","INFO","not supported","",""
"sessionresumption_ID","laremontada.fr/46.252.181.104","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","laremontada.fr/46.252.181.104","443","INFO","random","",""
"certificate_compression","laremontada.fr/46.252.181.104","443","INFO","none","",""
"clientAuth","laremontada.fr/46.252.181.104","443","INFO","none","",""
"cert_numbers","laremontada.fr/46.252.181.104","443","INFO","1","",""
"cert_signatureAlgorithm","laremontada.fr/46.252.181.104","443","OK","SHA256 with RSA","",""
"cert_keySize","laremontada.fr/46.252.181.104","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","laremontada.fr/46.252.181.104","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","laremontada.fr/46.252.181.104","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","laremontada.fr/46.252.181.104","443","INFO","0427EDB810458D4FB3203081885556FF3F45","",""
"cert_serialNumberLen","laremontada.fr/46.252.181.104","443","INFO","18","",""
"cert_fingerprintSHA1","laremontada.fr/46.252.181.104","443","INFO","81CCC26CB1BEF86C0E97FE8D51C07C59BBFBF32F","",""
"cert_fingerprintSHA256","laremontada.fr/46.252.181.104","443","INFO","7594AE0E3ECBE751434DA0EBC9357E2F3D5B7302DD20FD193E501660B388E0A2","",""
