"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.upr.fr/145.239.192.17","443","INFO","HTTP","",""
"pre_128cipher","www.upr.fr/145.239.192.17","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.upr.fr/145.239.192.17","443","OK","not offered","",""
"SSLv3","www.upr.fr/145.239.192.17","443","OK","not offered","",""
"TLS1","www.upr.fr/145.239.192.17","443","INFO","not offered","",""
"TLS1_1","www.upr.fr/145.239.192.17","443","INFO","not offered","",""
"TLS1_2","www.upr.fr/145.239.192.17","443","OK","offered","",""
"TLS1_3","www.upr.fr/145.239.192.17","443","OK","offered with final","",""
"ALPN_HTTP2","www.upr.fr/145.239.192.17","443","OK","h2","",""
"ALPN","www.upr.fr/145.239.192.17","443","INFO","http/1.1","",""
"cipherlist_NULL","www.upr.fr/145.239.192.17","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.upr.fr/145.239.192.17","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.upr.fr/145.239.192.17","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.upr.fr/145.239.192.17","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.upr.fr/145.239.192.17","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.upr.fr/145.239.192.17","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","www.upr.fr/145.239.192.17","443","INFO","not offered","",""
"cipherlist_STRONG","www.upr.fr/145.239.192.17","443","OK","offered","",""
"cipher_order","www.upr.fr/145.239.192.17","443","OK","server","",""
"protocol_negotiated","www.upr.fr/145.239.192.17","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","www.upr.fr/145.239.192.17","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","www.upr.fr/145.239.192.17","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"FS","www.upr.fr/145.239.192.17","443","OK","offered","",""
"FS_ciphers","www.upr.fr/145.239.192.17","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.upr.fr/145.239.192.17","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.upr.fr/145.239.192.17","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.upr.fr/145.239.192.17","443","INFO","valid for 3600 seconds only (<daily)","",""
"SSL_sessionID_support","www.upr.fr/145.239.192.17","443","INFO","yes","",""
"sessionresumption_ticket","www.upr.fr/145.239.192.17","443","INFO","supported","",""
"sessionresumption_ID","www.upr.fr/145.239.192.17","443","INFO","supported","",""
"TLS_timestamp","www.upr.fr/145.239.192.17","443","INFO","random","",""
